               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049302,            0.010994,           0.0085081,             0.51297,             0.97619,             0.91274,             0.57466,            0.052108,           0.0074261,           0.0093441,           0.0033105,           0.0033105,             0.07011
                  37,            0.052196,            0.010859,           0.0071053,              0.5493,             0.97619,             0.94873,             0.46695,            0.053814,           0.0073651,           0.0074963,           0.0033996,           0.0033996,              0.0693
                  38,            0.055712,            0.010989,           0.0054768,             0.92398,             0.59937,             0.91909,             0.63315,            0.055441,            0.007217,            0.010589,           0.0034888,           0.0034888,            0.068489
                  39,            0.051417,            0.010804,           0.0064872,             0.56725,             0.97596,             0.90423,             0.42095,            0.052539,           0.0072765,            0.010933,           0.0035779,           0.0035779,            0.067678
                  40,            0.053012,            0.010796,           0.0067359,             0.63913,             0.97567,              0.9151,             0.46686,            0.054298,           0.0069809,            0.010626,           0.0036669,           0.0036669,            0.066867
                  41,            0.050598,            0.010438,           0.0065856,             0.67778,             0.97619,             0.91121,              0.5161,            0.050794,           0.0067958,            0.010501,           0.0037559,           0.0037559,            0.066056
                  42,            0.050299,            0.010824,           0.0065432,             0.54326,             0.97569,             0.87177,             0.35808,            0.054328,           0.0066823,           0.0097547,           0.0038449,           0.0038449,            0.065245
                  43,            0.045322,            0.010396,           0.0064449,             0.66393,             0.97512,              0.9555,             0.53954,            0.040767,           0.0067813,           0.0087615,           0.0039338,           0.0039338,            0.064434
                  44,            0.043341,           0.0095168,            0.005787,             0.71853,             0.97579,             0.93045,              0.5524,            0.055017,           0.0063429,           0.0081515,           0.0040227,           0.0040227,            0.063623
                  45,            0.047546,            0.011125,           0.0058397,             0.68983,              0.9754,             0.96045,             0.65886,            0.054721,           0.0060875,           0.0087923,           0.0041115,           0.0041115,            0.062811
                  46,            0.044071,            0.009056,           0.0069741,             0.75231,             0.97619,             0.96998,             0.69199,            0.053199,           0.0064312,            0.010013,           0.0042002,           0.0042002,               0.062
                  47,            0.044508,           0.0096418,           0.0057929,              0.7034,             0.97619,             0.92873,              0.5506,            0.059223,           0.0060658,            0.010598,           0.0042889,           0.0042889,            0.061189
                  48,             0.04746,           0.0089542,           0.0056204,             0.70571,             0.97619,             0.97073,             0.60756,             0.04929,           0.0063944,            0.010122,           0.0043775,           0.0043775,            0.060378
                  49,             0.04173,           0.0088335,           0.0068427,             0.66189,             0.97619,             0.87588,             0.55078,             0.05226,           0.0060225,            0.010158,           0.0044661,           0.0044661,            0.059566
                  50,            0.047085,           0.0093379,           0.0055156,             0.77432,             0.97619,             0.96721,             0.63771,            0.046929,           0.0060949,           0.0098609,           0.0045546,           0.0045546,            0.058755
                  51,             0.04307,           0.0092353,           0.0056232,              0.7131,             0.97619,             0.96584,             0.55677,            0.047656,           0.0060901,           0.0094153,           0.0046431,           0.0046431,            0.057943
                  52,            0.041003,           0.0085328,           0.0050428,             0.69734,             0.97619,             0.95352,              0.6553,            0.049291,            0.005554,           0.0093878,           0.0047315,           0.0047315,            0.057131
                  53,            0.044967,           0.0089533,           0.0048988,             0.66345,             0.97182,             0.94855,             0.54263,            0.055441,           0.0054381,           0.0083877,           0.0048198,           0.0048198,             0.05632
                  54,            0.041228,           0.0089606,           0.0043879,             0.70551,             0.97606,              0.9309,             0.51398,            0.049266,           0.0056584,           0.0091873,           0.0049081,           0.0049081,            0.055508
                  55,            0.043109,           0.0091274,           0.0053318,             0.80736,             0.97569,             0.97257,             0.56713,            0.046439,           0.0056414,             0.00771,           0.0049963,           0.0049963,            0.054696
                  56,            0.050739,           0.0085825,           0.0064577,             0.68577,             0.94433,             0.92465,             0.53059,            0.043909,           0.0063443,           0.0077948,           0.0050844,           0.0050844,            0.053884
                  57,            0.044985,           0.0092394,            0.007062,             0.87016,             0.97619,             0.96311,              0.5823,            0.045011,           0.0057169,            0.007009,           0.0051725,           0.0051725,            0.053073
                  58,            0.048295,           0.0087024,           0.0057662,              0.7368,             0.97527,             0.93254,               0.561,            0.049983,           0.0054933,           0.0071343,           0.0052605,           0.0052605,            0.052261
                  59,            0.047104,           0.0088774,           0.0068699,             0.79396,             0.96408,               0.966,             0.59037,            0.055928,           0.0055375,           0.0070951,           0.0053485,           0.0053485,            0.051448
                  60,            0.045032,           0.0090139,           0.0052589,             0.83818,             0.97619,             0.93885,             0.66994,            0.054806,           0.0057163,            0.006985,           0.0054363,           0.0054363,            0.050636
                  61,            0.046501,            0.007875,            0.004938,             0.69882,             0.81661,             0.80828,             0.46255,            0.061085,           0.0057079,           0.0070947,           0.0055241,           0.0055241,            0.049824
                  62,            0.045838,           0.0091408,           0.0056386,             0.78001,             0.94878,             0.94434,             0.54636,            0.063889,            0.005444,           0.0066526,           0.0056118,           0.0056118,            0.049012
                  63,             0.04701,            0.007995,           0.0052148,              0.7652,             0.91943,             0.92787,             0.51367,            0.058411,           0.0054625,           0.0066856,           0.0056995,           0.0056995,            0.048199
                  64,             0.04387,           0.0091301,           0.0057641,              0.9263,             0.97619,             0.96415,             0.63548,            0.056391,           0.0052559,           0.0059748,           0.0057871,           0.0057871,            0.047387
