    40/499     2.23G   0.03807   0.01469  0.005752   0.05851        58       640    0.8267     0.919    0.9455    0.5646   0.03043   0.01104  0.007795
    41/499     2.23G   0.03641     0.014  0.005634   0.05604        41       640    0.7473    0.8948    0.8888    0.4681   0.03269   0.01047  0.007036
    42/499     2.23G   0.03881    0.0148   0.00573   0.05935        40       640    0.8102    0.9165    0.9287    0.5568   0.03107    0.0105  0.006608
    43/499     2.23G   0.03579   0.01435   0.00512   0.05527        45       640    0.8821    0.9251    0.9597    0.5597   0.03202   0.01022  0.006017
    44/499     2.23G   0.03863   0.01465  0.005021    0.0583        35       640     0.827    0.9563    0.9667    0.6424   0.02532  0.009756  0.006001
    45/499     2.23G   0.03646   0.01403  0.004852   0.05534        60       640     0.858    0.9844    0.9591    0.5936   0.02905   0.00997  0.005598
    46/499     2.23G   0.03454   0.01369  0.004518   0.05275        53       640    0.9012    0.9156    0.9517     0.676   0.02564   0.00929  0.005598
    47/499     2.23G   0.03321   0.01398  0.004566   0.05176        70       640     0.834    0.9812     0.963    0.6405    0.0246  0.009345  0.005174
    48/499     2.23G   0.03162   0.01379  0.004059   0.04947        49       640    0.9571    0.9563    0.9751    0.6667   0.02362  0.009659  0.004963
    49/499     2.23G   0.03065   0.01301  0.004426   0.04809        55       640    0.9183    0.9683    0.9918    0.6466   0.02461  0.009471  0.004954
    50/499     2.23G   0.03273   0.01334  0.004255   0.05033        40       640    0.8972    0.9978    0.9874    0.6253   0.02283  0.009864  0.005257
    51/499     2.23G   0.02997   0.01293  0.004337   0.04724        31       640    0.9338    0.9976    0.9926    0.6561    0.0236  0.009469   0.00479
    52/499     2.23G   0.03034   0.01356  0.004054   0.04796        53       640    0.8827    0.9978    0.9927    0.6617   0.02487  0.009581  0.005458
    53/499     2.23G   0.02959    0.0128  0.004501   0.04689        38       640    0.9719    0.9648    0.9911    0.6803   0.02374  0.009333  0.004994
    54/499     2.23G   0.03077   0.01302  0.004207     0.048        65       640     0.911    0.9576    0.9925    0.7222   0.02264  0.009372  0.004649
    55/499     2.23G   0.02971   0.01353  0.004154    0.0474        55       640    0.9628    0.9828    0.9915    0.7097   0.02121  0.008842   0.00439
    56/499     2.23G   0.02806   0.01342  0.003792   0.04527        67       640     0.926    0.9906    0.9662    0.6603    0.0255  0.009513  0.004348
